name,frame duration,start frame,end frame,duration (s),start (s),end (s)
Child,10,8867,8877,0.33,295.96,296.3
none,13,8877,8890,0.43,296.3,296.73
Child,10,8890,8900,0.33,296.73,297.06
none,14,8900,8914,0.47,297.06,297.53
Mother,16,8914,8930,0.53,297.53,298.06
none,11,8930,8941,0.37,298.06,298.43
Mother,50,8941,8991,1.67,298.43,300.1
none,1,8991,8992,0.03,300.1,300.13
Mother,6,8992,8998,0.2,300.13,300.33
none,8,8998,9006,0.27,300.33,300.6
Mother,8,9006,9014,0.27,300.6,300.87
none,2,9014,9016,0.07,300.87,300.93
Mother,4,9016,9020,0.13,300.93,301.07
none,5,9020,9025,0.17,301.07,301.23
Mother,2,9025,9027,0.07,301.23,301.3
none,10,9027,9037,0.33,301.3,301.64
Mother,2,9037,9039,0.07,301.64,301.7
none,14,9039,9053,0.47,301.7,302.17
Mother,1,9053,9054,0.03,302.17,302.2
none,4,9054,9058,0.13,302.2,302.34
Mother,4,9058,9062,0.13,302.34,302.47
none,3,9062,9065,0.1,302.47,302.57
Mother,2,9065,9067,0.07,302.57,302.64
none,33,9067,9100,1.1,302.64,303.74
Mother,1,9100,9101,0.03,303.74,303.77
none,85,9101,9186,2.84,303.77,306.61
Mother,2,9186,9188,0.07,306.61,306.68
none,60,9188,9248,2.0,306.68,308.68
Mother,2,9248,9250,0.07,308.68,308.74
none,31,9250,9281,1.03,308.74,309.78
Mother,2,9281,9283,0.07,309.78,309.85
none,29,9283,9312,0.97,309.85,310.81
Mother,1,9312,9313,0.03,310.81,310.85
none,3,9313,9316,0.1,310.85,310.95
Mother,3,9316,9319,0.1,310.95,311.05
none,17,9319,9336,0.57,311.05,311.62
Mother,2,9336,9338,0.07,311.62,311.68
none,53,9338,9391,1.77,311.68,313.45
Child,2,9390,9392,0.07,313.42,313.48
